# warning: word 'bound' is already defined
# warning: word 'found' is already defined
# warning: word 'ground' is already defined
# warning: word 'wound' is already defined
# warning: word 'backslid' is already defined
</s> 0 0
brothers 2 80 brother
league 2 0
condition 2 0
machine 2 0
argument 2 0
sex 2 0 sexes
sexes 2 80 sex
budget 2 0
english 2 0 englishes
englishes 2 80 english
transport 2 0
share 2 0
mum 2 0
cash 2 0 cashes
cashes 2 80 cash
principle 2 0
exchange 2 0
aid 3 1
version 2 0
rule 2 0
tea 2 0
balance 3 1
afternoon 2 0
reference 2 0
protection 2 0
truth 2 0 truths
truths 2 80 truth
district 2 0
smith 2 0
review 2 0
duty 2 0 duties
duties 2 80 duty
survey 2 0
presence 2 0
influence 2 0
stone 2 0 stones
stones 2 80 stone
dog 2 0
benefit 2 0
collection 2 0
executive 2 0
speech 2 0 speeches
speeches 2 80 speech
queen 2 0
marriage 2 0
stock 2 0
failure 2 0
kitchen 2 0
student 2 0
effort 2 0
holiday 2 0
career 2 0
attack 2 0
horse 2 0
progress 2 0 progresses
progresses 2 80 progress
plant 2 0
visit 2 0
relation 2 0
ball 2 0
bar 2 0
opinion 2 0
quarter 2 0
impact 2 0
scale 2 0
race 2 0
image 2 0
trust 2 0
justice 2 0
edge 2 0
gas 2 0 gases
gases 2 80 gas
railway 2 0
expression 2 0
advantage 3 1
gold 2 0
wood 2 0
network 2 0
forest 2 0
sister 2 0
chair 2 0
cause 2 0
foot 2 0 feet
feet 2 80 foot
rise 2 0
half 2 0 halves
halves 2 80 half
winter 2 0
corner 2 0
insurance 2 0 insurances
insurances 2 80 insurance
step 2 0
damage 2 0
credit 2 0 credits
credits 2 80 credit
pain 2 0
possibility 2 0 possibilities
possibilities 2 80 possibility
legislation 2 0 legislations
legislations 2 80 legislation
strength 2 0
speed 3 1 sped speeds speeding
crime 2 0
hill 2 0
debate 2 0
supply 2 0 supplies
supplies 2 80 supply
present 2 0
confidence 2 0
patient 2 0
wind 3 1 wound winds winding
solution 2 0
band 3 1
museum 2 0 museums
museums 2 80 museum
farm 2 0
pound 3 1
match 2 0 matches
matches 2 80 match
assessment 2 0
message 2 0
football 2 0
noes 2 80 no
animal 2 0
skin 2 0
scene 2 0
article 3 1
stuff 2 0 stuffs
stuffs 2 80 stuff
introduction 2 0
play 2 0
administration 2 0 administrations
administrations 2 80 administration
fear 2 0
dad 2 0
proportion 2 0
island 2 0
claim 2 0
kingdom 2 0
video 2 0 videos
videos 2 80 video
tv 2 0 tvs
tvs 2 80 tv
existence 2 0
telephone 2 0
move 2 0
traffic 3 1
distance 2 0
relief 2 0
cabinet 2 0
unemployment 2 0
reality 2 0 realities
realities 2 80 reality
target 2 0
trial 2 0
rock 2 0
concept 2 0
spirit 2 0
accident 2 0
organization 2 0
construction 2 0
coffee 2 0
phone 2 0
distribution 2 0
train 2 0
sight 2 0
difficulty 2 0 difficulties
difficulties 2 80 difficulty
factor 2 0
exercise 2 0
weekend 3 1
battle 3 1
prison 2 0
grant 2 0
aircraft 2 80 aircraft
tree 2 0 trees
trees 2 80 tree
bridge 3 1
strategy 2 0 strategies
strategies 2 80 strategy
contrast 2 0
communication 2 0
background 3 1
shape 2 0
wine 2 0
star 2 0
hope 2 0
selection 2 0
detail 2 0
user 2 0
path 2 0
client 2 0
search 2 0 searches
searches 2 80 search
master 2 0
rain 2 0 rains
rains 2 80 rain
offer 2 0
goal 2 0
dinner 2 0
freedom 2 0
attitude 2 0
agency 2 0 agencies
agencies 2 80 agency
seat 2 0
manner 2 0
favour 2 0
fig. 2 80 fig.
pair 2 0 pairs
pairs 2 80 pair
crisis 2 0 crises
crises 2 80 crisis
smile 2 0
prince 2 0
danger 2 0
capacity 2 0 capacities
capacities 2 80 capacity
output 2 0
note 2 0
procedure 2 0
theatre 2 0
tour 2 0
recognition 2 0 recognitions
recognitions 2 80 recognition
middle 2 0
absence 2 0 absences
absences 2 80 absence
sentence 2 0
package 2 0
track 2 0
card 3 1
sign 2 0
commitment 2 0
player 2 0
threat 2 0
weather 2 0
element 2 0
conflict 2 0
notice 2 0
victory 2 0 victories
victories 2 80 victory
bottom 2 0
finance 2 0
fund 3 1
violence 2 0
file 2 0
profit 2 0
standard 2 0
route 2 0
expenditure 2 0 expenditures
expenditures 2 80 expenditure
discipline 2 0
cell 2 0
pp. 2 0
reaction 2 0
castle 2 0
congress 2 0 congresses
congresses 2 80 congress
individual 2 0
lead 3 1 led leaded leads leading
consideration 2 0
debt 2 0
option 2 0
payment 2 0
exhibition 2 0
reform 2 0
emphasis 2 0 emphases
emphases 2 80 emphasis
spring 2 0
audience 2 0
feature 2 0
touch 2 0 touches
touches 2 80 touch
estate 2 0
assembly 2 0 assemblies
assemblies 2 80 assembly
volume 2 0
youth 2 0
contribution 2 0
curriculum 2 0 curricula
curricula 2 80 curriculum
appearance 2 0
boat 2 0
institute 2 0
membership 2 0
branch 2 0 branches
branches 2 80 branch
bus 2 0 buses
buses 2 80 bus
waste 2 0
heat 2 0
neck 2 0
object 2 0
captain 2 0
driver 2 0
challenge 2 0
conversation 2 0
occasion 2 0
code 2 0
crown 2 0
birth 2 0
silence 2 0 silences
silences 2 80 silence
literature 2 0 literatures
literatures 2 80 literature
faith 2 0
hell 2 0
entry 2 0 entries
entries 2 80 entry
transfer 2 0
gentleman 2 0 gentlemen
gentlemen 2 80 gentleman
bag 2 0
coal 2 0
investigation 2 0
leg 2 0
belief 2 0
total 2 0
major 2 0
document 2 0
description 2 0
murder 2 0
aim 2 0
manchester 2 0
flight 2 0
conclusion 2 0
drug 2 0
tradition 2 0
pleasure 2 0
connection 2 0
owner 2 0
treaty 2 0 treaties
treaties 2 80 treaty
desire 2 0 desires
desires 2 80 desire
professor 2 0
copy 2 0 copies
copies 2 80 copy
ministry 2 0 ministries
ministries 2 80 ministry
acid 2 0
palace 2 0
address 2 0 addresses
addresses 2 80 address
institution 2 0
lunch 2 0 lunches
